room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
11719551,30021442,Entire home/apt,Northern Beaches,0,0,8,3,585,-33.608529,151.328696,Whale Beach
8132855,42945634,Entire home/apt,Northern Beaches,0,0,7,3,636,-33.593571,151.319181,Palm Beach
1747259,9195390,Entire home/apt,Northern Beaches,11,5,6,2,396,-33.623086,151.318458,Avalon Beach
1046319,5760128,Entire home/apt,Eastern Suburbs,3,4.5,6,2,182,-33.886933,151.277057,Bondi Beach
8463879,2513870,Entire home/apt,Eastern Suburbs,11,4.5,6,2,176,-33.887348,151.246748,Woollahra
15773121,2450066,Entire home/apt,Inner Sydney,7,4,6,3,175,-33.886442,151.215978,Surry Hills
4522635,23446220,Entire home/apt,Eastern Suburbs,0,0,8,4,2338,-33.906393,151.267675,Bronte
14489271,16357713,Entire home/apt,Lower Northern Sydney,0,0,10,6,1169,-33.813408,151.227497,Northbridge
8071916,113874,Entire home/apt,Eastern Suburbs,0,0,8,4,1068,-33.899156,151.271022,Tamarama
15471190,99141846,Entire home/apt,Lower Northern Sydney,1,0,8,4,1053,-33.823325,151.251118,Mosman
15930029,90554809,Entire home/apt,Northern Beaches,2,0,8,4,1053,-33.807809,151.287428,Manly
11106673,10137646,Entire home/apt,Eastern Suburbs,19,5,12,5,1247,-33.888796,151.273189,Bondi Beach
2245452,6784646,Entire home/apt,Northern Beaches,11,4.5,7,3,744,-33.59427,151.32013,Palm Beach
8506494,113874,Entire home/apt,Eastern Suburbs,0,0,8,3,865,-33.917011,151.259229,Coogee
14170863,73705494,Entire home/apt,Eastern Suburbs,0,0,8,4,732,-33.905037,151.244552,Randwick
15182393,113874,Entire home/apt,Eastern Suburbs,4,5,10,5,546,-33.898599,151.265067,Bronte
19365549,113874,Entire home/apt,Eastern Suburbs,0,0,7,3,640,-33.886894,151.274834,Bondi Beach
14579318,2450066,Entire home/apt,Eastern Suburbs,0,0,6,3,623,-33.925767,151.258229,Coogee
10208535,51884832,Entire home/apt,Eastern Suburbs,0,0,6,4,701,-33.924335,151.246442,Randwick
2795514,7409213,Entire home/apt,Eastern Suburbs,1,0,8,4,671,-33.939783,151.26088,Maroubra
15043456,16357713,Entire home/apt,Lower Northern Sydney,1,0,10,6,623,-33.841621,151.239467,Mosman
13416548,7409213,Entire home/apt,Eastern Suburbs,0,0,7,4,580,-33.910494,151.26145,Clovelly
9444143,7409213,Entire home/apt,Eastern Suburbs,0,0,8,3,523,-33.903364,151.260378,Bronte
8214256,113874,Entire home/apt,Eastern Suburbs,0,0,7,5,717,-33.910291,151.25948,Clovelly
14698109,48627526,Entire home/apt,Eastern Suburbs,1,0,6,3,546,-33.879248,151.27157,Rose Bay
10177484,52259186,Entire home/apt,Eastern Suburbs,0,0,10,5,546,-33.914136,151.258898,Coogee
4228622,21946903,Entire home/apt,Eastern Suburbs,0,0,7,4,662,-33.905871,151.267804,Bronte
